pdb	seed	DockQ_HA	iRMSD_HA	fnat_HA
8bg2	102			
8bg2	103			
8bg2	104			
8bg2	105			
8bg3	101			
8bg3	102			
8bg3	103			
8bg3	104			
8bg3	105			
8bg4	101	0.027327706148007835	22.42684848407935	0.05714285714285714
8bg4	102	0.026086155626906932	21.46932057211964	0.05714285714285714
8bg4	103	0.026230153818274888	20.91755363751392	0.0380952380952381
8bg4	104	0.022882372238277715	22.559315167308448	0.047619047619047616
8bg4	105	0.026478899198315406	20.528187595303844	0.0380952380952381
8bg5	101	0.01923674039998759	20.781296670562487	0.031578947368421054
8bg5	102	0.021378530522561893	20.84671860599203	0.042105263157894736
8bg5	103	0.03474349142976349	20.218042609923184	0.07368421052631578
8bg5	104	0.024789667862983686	20.196954691485832	0.042105263157894736
8bg5	105	0.027615963104626357	20.088370623591842	0.05263157894736842
8bk2	101			
8bk2	102	0.8370903960071451	0.4055076678822068	0.8275862068965517
8bk2	103	0.8429109862078871	0.3942116598539998	0.8620689655172413
8bk2	104			
8bk2	105			
8byu	101	0.005227108060409417	15.925579096809093	0.0
8byu	102	0.006543245164290975	15.29356309314278	0.0
8byu	103	0.007073894721845368	13.681703278012305	0.0
8byu	104	0.00724816599101345	13.52255428384581	0.0
8byu	105	0.0068387428457458675	14.072672001393757	0.0
8c3k	101	0.09898452971873219	7.089612789608632	0.0
8c3k	102	0.05807925851216664	10.35255566021007	0.0
8c3k	103	0.7001590351344268	1.4323197026907302	0.6862745098039216
8c3k	104	0.6585623731462648	1.5158875044368654	0.6274509803921569
8c3k	105	0.10236147806319264	7.0212936249501645	0.0
8c5h	101	0.015842816322909497	14.19628425859973	0.0
8c5h	102	0.015232200490651951	14.792466858135377	0.0
8c5h	103	0.014397833222803616	14.459155975611504	0.0
8c5h	104	0.013087946695402156	13.866534056950833	0.0
8c5h	105	0.013134596799378504	13.922276073312636	0.0
8cbf	101	0.023252641412485436	18.9187230974954	0.0
8cbf	102	0.6536904349417734	1.7832490802901915	0.7727272727272727
8cbf	103	0.6456205407186274	1.6652824996970048	0.7954545454545454
8cbf	104	0.025318471536348596	17.936116466422124	0.0
8cbf	105	0.5941226787717709	1.953109053243723	0.7727272727272727
8d9y	101			
8d9y	102			
8d9y	103			
8d9y	104			
8d9y	105			
8d9z	101	0.6658780527208603	1.3009630357071946	0.8571428571428571
8d9z	102	0.40686905810711327	3.7920170794280015	0.45714285714285713
8d9z	103	0.6706888923476629	1.3892732501830862	0.9142857142857143
8d9z	104	0.655871774652491	1.345469611757274	0.8857142857142857
8d9z	105	0.688144390319451	1.2781277898679795	0.8857142857142857
8da0	101			
8da0	102			
8da0	103			
8da0	104			
8da0	105			
8ee2	101			
8ee2	102			
8ee2	103			
8ee2	104			
8ee2	105			
8eln	101			
8eln	102			
8eln	103			
8eln	104			
8eln	105			
8elq	101	0.011326727963513106	15.270808833241425	0.0
8elq	102	0.011673633124456352	15.131597432069004	0.0
8elq	103	0.012156290588183625	14.699073300941057	0.0
8elq	104	0.01179855942447735	14.916755019555737	0.0
8elq	105	0.01176009353031563	15.11258868419224	0.0
8et0	101	0.7430740837998413	1.289284685066865	0.7183098591549296
8et0	102	0.7217068616804184	1.338607414428726	0.6901408450704225
8et0	103	0.1053051372836008	7.841367153525154	0.16901408450704225
8et0	104	0.6503113865127621	1.5166368669270591	0.5211267605633803
8et0	105	0.6989083475252933	1.4030224474097057	0.6197183098591549
8evd	101			
8evd	102			
8evd	103			
8evd	104	0.9264686847045512	0.5073848349536316	0.8939393939393939
8evd	105			
8ezk	101			
8ezk	102			
8ezk	103			
8ezk	104			
