pdb	trunk	DockQ_HA	iptm	aggregate_score
8fxv	1	0.0351752061343926	0.23843033611774445	0.3033491373062134
8fxv	2	0.222707148013425	0.2515757083892822	0.3181101679801941
8fxv	3	0.1326308678200881	0.2626660168170929	0.3290519118309021
8fxv	4	0.1631687121700489	0.2638338506221771	0.32907816767692566
8g0i	0	0.0207469117880035	0.24662664532661438	0.34127092361450195
8g0i	1	0.0081188447782882	0.2738049030303955	0.3656027019023895
8g0i	2	0.0093497634799034	0.25186941027641296	0.34688472747802734
8g0i	3	0.0087655385635003	0.2618759274482727	0.3559088110923767
8g0i	4	0.0081726301983897	0.2668145000934601	0.35978513956069946
8g4p	0	0.1686391533433957	0.746759831905365	0.7666828036308289
8g4p	1	0.2944904039117022	0.7515662312507629	0.7712700963020325
8g4p	2	0.1544346092365311	0.7529871463775635	0.7729640007019043
8g4p	3	0.2568384468216783	0.7518647313117981	0.7716020941734314
8g4p	4	0.3212447434764942	0.7550971508026123	0.7746223211288452
8gjr	0	0.0622472165290292	0.28646352887153625	0.3884880840778351
8gjr	1	0.0568109525904501	0.3329734206199646	0.4296262860298157
8gjr	2	0.0686955753744279	0.3051798939704895	0.4055507183074951
8gjr	3	0.068188328821052	0.3084544539451599	0.40790367126464844
8gjr	4	0.0680341534028377	0.31618326902389526	0.41519150137901306
8gy5	0	0.068216639482243	0.7156444787979126	0.7360517382621765
8gy5	1		0.7160208225250244	0.7352117896080017
8gy5	2		0.7203912138938904	0.7399587035179138
8gy5	3	0.0662779915472756	0.719783365726471	0.7399299144744873
8gy5	4		0.7178685069084167	0.7375850677490234
8gye	0	0.0078136580266714	0.7378274202346802	0.7573595643043518
8gye	1	0.0080607623935446	0.7235676646232605	0.7446091175079346
8gye	2	0.0078020297278269	0.7382737994194031	0.7580404877662659
8gye	3	0.0077150806506365	0.7342429161071777	0.7542957663536072
8gye	4	0.0078134234653295	0.7397477626800537	0.7595857977867126
8h5u	0		0.2877923548221588	0.3777616024017334
8h5u	1	0.0096290394792899	0.2399422824382782	0.3364434242248535
8h5u	2		0.28443801403045654	0.37560129165649414
8h5u	3	0.0094445505153635	0.2646321952342987	0.3584531545639038
8h5u	4		0.300862580537796	0.38908910751342773
8h63	0	0.6512089392317062	0.7592461705207825	0.7932960391044617
8h63	1	0.7716374619955081	0.7526454925537109	0.7877276539802551
8h63	3	0.7308613037179624	0.7611732482910156	0.794838547706604
8h63	4	0.8415589541053091	0.7469866871833801	0.7830008268356323
8h64	0		0.24824151396751404	0.36298394203186035
8h64	1		0.2539352774620056	0.36753666400909424
8h64	2		0.2627992630004883	0.3752375841140747
8h64	3		0.25518178939819336	0.36910462379455566
8h64	4		0.2602279782295227	0.3731773793697357
8hes	0	0.0825177461804735	0.5532823204994202	0.5775171518325806
8hes	1	0.1008959492375671	0.554480791091919	0.57899010181427
8hes	2	0.034803216355914	0.5468514561653137	0.5724594593048096
8hes	3	0.2618573717262627	0.5453171133995056	0.5731010437011719
8hes	4	0.1024320333412551	0.5595868229866028	0.583041787147522
8hr2	0	0.0099092410969262	0.2344142645597458	0.3208860754966736
8hr2	1	0.0531550071212132	0.19177910685539246	0.28095540404319763
8hr2	2	0.0099906928336448	0.24086466431617737	0.32705387473106384
8hr2	3	0.0100810563985278	0.19533655047416687	0.2855123281478882
8hr2	4	0.009933519927473	0.2168903350830078	0.3059195280075073
8idi	0		0.5460324883460999	0.6019297242164612
8idi	1		0.5514135360717773	0.6066668033599854
8idi	2	0.0074532317889444	0.19475030899047852	0.29084938764572144
8idi	3		0.5055334568023682	0.5664386749267578
8idi	4		0.5235474109649658	0.5823121666908264
8ido	0	0.0071382134016529	0.18786031007766724	0.28448566794395447
8ido	1	0.0065574799218439	0.18279190361499786	0.279213547706604
8ido	2	0.0069327566108734	0.19045519828796387	0.2869008183479309
8ido	3	0.006609088331917	0.18898554146289825	0.28471559286117554
8ido	4	0.0066177015482815	0.19561070203781128	0.2909671664237976
8im0	0	0.7933782462678928	0.5562528967857361	0.6132316589355469
8im0	1	0.8172841995501088	0.5192239284515381	0.5805866122245789
8im0	2	0.7763405344267054	0.5348576307296753	0.5937378406524658
8im0	3	0.8559104502443392	0.5605562925338745	0.6163704991340637
8im0	4	0.7533956953569683	0.5813940763473511	0.6339689493179321
8im1	0		0.2843513488769531	0.36941206455230713
8im1	1		0.2584429979324341	0.3480612337589264
8im1	2		0.29767945408821106	0.38219916820526123
8im1	3		0.28887641429901123	0.373842716217041
8im1	4		0.2993151843547821	0.3835297226905823
8ipc	0	0.4716562839463507	0.6356492042541504	0.6536522507667542
8ipc	1	0.2735559187119935	0.6433047652244568	0.6613926291465759
8ipc	2	0.3761195812193807	0.6421903371810913	0.6617920994758606
8ipc	3	0.4115657376813933	0.6352603435516357	0.6551528573036194
8ipc	4	0.3657056464250857	0.6214451789855957	0.6429412364959717
8jel	0		0.7121886014938354	0.7342042922973633
